event_date,event_name,event_category,distance,location,link,english_slug_base
14 Nov 2025,飛越大嶼 Translantau,越野,"25, 50, 80, 120km",梅窩,https://translantau.utmb.world/,translantau-utmb-mui-wo-nov-2025
16 Nov 2025,美津濃香港跑步祭,路跑,"3, 5, 10km",科學園,https://mizunohkrun.com/zh-hant,mizuno-hong-kong-running-festival-nov-2025
16 Nov 2025,Pink Run,路跑,"100m, 1, 10km",赤柱,https://www.pinkrun.hk/,pink-run-stanley-nov-2025
23 Nov 2025,香港街馬,路跑,"10km, 半馬, 全馬",香港,https://www.streetathon.com/tc/,hong-kong-streetathon-nov-2025
23 Nov 2025,Hysan Island Hike & Run,越野,"6, 15, 23km",箕璉坊,https://www.actionasiaevents.com/our-events/2025-hysan-island-hike-and-run/event-info-%E8%B3%BD%E4%BA%8B%E7%B0%A1%E4%BB%8B.html,hysan-island-hike-run-kei-ling-ha-nov-2025
28 Nov 2025,樂施毅行者,越野,100km,北潭涌,https://www.oxfamtrailwalker.org.hk/,oxfam-trailwalker-pak-tam-chung-nov-2025
3 Nov 2025,PEGASUS石門十公里賽,路跑,10km,石門,http://www.hkmarathonpro.com/,pegasus-shek-mun-10k-race-nov-2025
3 Nov 2025,寶礦力水特跑步祭2025,路跑,"3, 5, 10km",科學園,https://psrun2025.sportsoho.com/,pocari-sweat-run-festival-science-park-nov-2025
6 Dec 2025,Spark Run,越野,"25, 50km",西貢,https://www.sephk.com/sparkrun/,spark-run-50k-sai-kung-dec-2025
7 Dec 2025,Spark Run,越野,"8.5, 14.5km",西貢,https://www.sephk.com/sparkrun/,spark-run-15k-sai-kung-dec-2025
13 Dec 2025,Lantau 50,越野,"16, 27, 54km",東涌,https://www.actionasiaevents.com/our-events/2025-lantau-50/event-info-%E8%B3%BD%E4%BA%8B%E7%B0%A1%E4%BB%8B.html,lantau-50-trail-race-tung-chung-dec-2025
14 Dec 2025,香港自豪跑 Pride Run Hong Kong,路跑,TBC,TBC,https://www.instagram.com/priderunhk,pride-run-hong-kong-dec-2025
19 Dec 2025,The North Face 100,越野,"14, 55, 100km",林村,https://www.raceresults.com.hk/event/406,north-face-100-lam-tsuen-dec-2025
21 Dec 2025,香港半馬拉松錦標賽,路跑,半馬,TBC,https://hkaaa.com/,hong-kong-half-marathon-championship-dec-2025
1 Jan 2026,SALOMON香港動力50及10公里挑戰賽,越野,"10, 50km",城門,https://salomon100.com/,salomon-hong-kong-power-50-shing-mun-jan-2026
3 Jan 2026,SALOMON香港動力25公里挑戰賽及5公里親子賽,越野,"5, 25km",城門,https://salomon100.com/,salomon-hong-kong-power-25-family-shing-mun-jan-2026
18 Jan 2026,渣打香港馬拉松,路跑,"10km, 半馬, 馬拉松",尖沙咀/港島,https://www.hkmarathon.com/,standard-chartered-hong-kong-marathon-jan-2026
31 Jan 2026,綠色力量環島行,越野,"10, 25, 50km",港島徑,https://hike.greenpower.org.hk/,green-power-hike-hong-kong-island-trail-jan-2026
7 Feb 2026,HK50 West,越野,"11, 25, 55km",城門,https://www.actionasiaevents.com/our-events/upcoming-events/2026-hk50-west-race-3-hk50-series/event-info-%E8%B3%BD%E4%BA%8B%E7%B0%A1%E4%BB%8B.html,hk50-west-trail-race-shing-mun-feb-2026
15 Feb 2026,HONG KONG SUIT RUN,路跑,TBC,中環,https://www.run2gather.com/,hong-kong-suit-run-central-feb-2026
27 Feb 2026,The 9 Dragons,越野,"25, 50km, 50mi",TBC,https://www.the9dragons.asia/,the-9-dragons-ultra-trail-feb-2026
6 Mar 2026,Victoria 162,越野,"25, 50, 57, 80, 162km, 3-day",東涌,https://www.victoria162.hk/,victoria-162-ultra-trail-tung-chung-mar-2026
8 Mar 2026,RMAC 「沙田10K」河畔賽 2026,路跑,10km,沙田,http://www.hkmarathonpro.com/,rmac-sha-tin-10k-riverside-race-mar-2026
